uc002zks.4	chr22	-	16150259	16193004	16150259	16150259	8	16150259,16162396,16186810,16187164,16189031,16189263,16190680,16192905,	16151821,16162487,16186946,16187302,16189143,16189411,16190791,16193004,		uc002zks.4
uc002zkt.3	chr22	+	16162065	16172265	16162065	16162065	3	16162065,16164481,16171951,	16162388,16164569,16172265,		uc002zkt.3
uc002zku.3	chr22	-	16179617	16181004	16179617	16179617	1	16179617,	16181004,		uc002zku.3
uc002zkv.3	chr22	-	16187164	16193004	16187164	16187164	5	16187164,16189031,16189263,16190680,16192905,	16187302,16189143,16189378,16190791,16193004,		uc002zkv.3
uc021wkd.1	chr22	+	16239287	16239327	16239287	16239287	1	16239287,	16239327,		uc021wkd.1
uc002zkw.3	chr22	-	16240245	16240277	16240245	16240245	1	16240245,	16240277,		uc002zkw.3
uc002zkx.2	chr22	-	16240300	16240340	16240300	16240300	1	16240300,	16240340,		uc002zkx.2
uc002zky.2	chr22	+	16241085	16241125	16241085	16241085	1	16241085,	16241125,		uc002zky.2
uc021wke.1	chr22	-	16242753	16242785	16242753	16242753	1	16242753,	16242785,		uc021wke.1
uc002zla.2	chr22	-	16243382	16243414	16243382	16243382	1	16243382,	16243414,		uc002zla.2
uc021wkf.1	chr22	-	16243447	16243487	16243447	16243447	1	16243447,	16243487,		uc021wkf.1
uc002zlb.3	chr22	-	16243907	16243948	16243907	16243907	1	16243907,	16243948,		uc002zlb.3
uc021wkg.1	chr22	-	16243978	16244015	16243978	16243978	1	16243978,	16244015,		uc021wkg.1
uc021wkh.1	chr22	+	16244205	16244245	16244205	16244205	1	16244205,	16244245,		uc021wkh.1
uc021wki.1	chr22	-	16244524	16244552	16244524	16244524	1	16244524,	16244552,		uc021wki.1
uc002zlc.2	chr22	-	16245153	16245185	16245153	16245153	1	16245153,	16245185,		uc002zlc.2
uc021wkj.1	chr22	-	16245218	16245248	16245218	16245218	1	16245218,	16245248,		uc021wkj.1
uc002zld.3	chr22	-	16245678	16245719	16245678	16245678	1	16245678,	16245719,		uc002zld.3
uc021wkk.1	chr22	-	16245749	16245786	16245749	16245749	1	16245749,	16245786,		uc021wkk.1
uc021wkl.1	chr22	+	16245997	16246037	16245997	16245997	1	16245997,	16246037,		uc021wkl.1
uc002zlf.2	chr22	-	16251235	16255495	16251235	16251235	1	16251235,	16255495,		uc002zlf.2
uc002zlg.1	chr22	-	16256331	16287425	16256331	16256331	12	16256331,16258184,16262903,16266928,16268136,16269872,16275206,16277747,16279194,16282144,16282477,16287253,	16256677,16258303,16262952,16267095,16268181,16269943,16275277,16277885,16279301,16282318,16282592,16287425,		uc002zlg.1
uc002zlh.1	chr22	-	16256331	16287425	16258185	16280411	12	16256331,16258184,16266928,16268136,16269872,16275206,16277747,16279194,16280333,16282144,16282477,16287253,	16256677,16258303,16267095,16268181,16269943,16275277,16277885,16279301,16280589,16282318,16282592,16287425,		uc002zlh.1
uc010gqp.2	chr22	-	16256331	16287937	16258185	16287885	11	16256331,16258184,16266928,16268136,16269872,16275206,16277747,16279194,16282144,16282477,16287253,	16256677,16258303,16267095,16268181,16269943,16275277,16277885,16279301,16282318,16282592,16287937,	Q6S545	uc010gqp.2
uc002zlj.1	chr22	-	16266928	16287937	16266930	16287390	10	16266928,16268136,16269872,16275206,16277747,16279194,16282144,16282477,16287253,16287537,	16267095,16268181,16269943,16275277,16277885,16279301,16282318,16282592,16287425,16287937,	Q6S545	uc002zlj.1
uc002zlk.3	chr22	+	16274557	16278600	16274557	16274557	2	16274557,16276480,	16275003,16278600,		uc002zlk.3
uc011agd.2	chr22	-	16448823	16449804	16448823	16449804	1	16448823,	16449804,	Q8NG94	uc011agd.2
uc002zlo.1	chr22	+	17029615	17029643	17029615	17029615	1	17029615,	17029643,		uc002zlo.1
uc002zlp.1	chr22	-	17071647	17073700	17071766	17073440	1	17071647,	17073700,	Q96SF2	uc002zlp.1
uc010gqq.3	chr22	+	17082800	17096000	17082800	17082800	4	17082800,17092547,17094966,17095588,	17083105,17092783,17095068,17096000,		uc010gqq.3
uc002zlq.4	chr22	+	17082800	17096000	17082800	17082800	3	17082800,17092547,17094966,	17083105,17092783,17096000,		uc002zlq.4
uc002zlr.3	chr22	+	17082800	17129720	17082800	17082800	9	17082800,17092547,17094966,17103730,17117929,17119468,17128057,17128552,17129416,	17083105,17092783,17095068,17103787,17117980,17119630,17128147,17128675,17129720,		uc002zlr.3
uc002zls.1	chr22	+	17082800	17179521	17082800	17082800	3	17082800,17119468,17178385,	17083105,17119630,17179521,		uc002zls.1
uc002zlt.3	chr22	+	17100506	17134584	17100506	17100506	8	17100506,17100941,17103730,17117929,17119468,17128494,17129416,17134399,	17100610,17101050,17103787,17117980,17119630,17128675,17129538,17134584,		uc002zlt.3
uc021wkm.1	chr22	-	17134598	17156430	17134598	17134598	9	17134598,17140386,17140747,17142365,17150351,17151106,17152407,17154489,17156012,	17134966,17140518,17140859,17142445,17150510,17151151,17152478,17154642,17156430,		uc021wkm.1
uc002zlu.3	chr22	-	17227758	17229328	17227758	17227758	2	17227758,17229165,	17228629,17229328,		uc002zlu.3
uc002zlv.3	chr22	-	17264305	17302584	17264508	17288963	4	17264305,17280660,17288628,17302496,	17265299,17280914,17288973,17302584,	Q5GH77	uc002zlv.3
uc011agf.2	chr22	-	17264305	17302584	17264508	17288963	4	17264305,17280660,17288628,17302496,	17265299,17280914,17288976,17302584,	Q5GH77	uc011agf.2
uc010gqr.1	chr22	+	17308363	17310225	17308363	17308363	2	17308363,17309431,	17308950,17310225,		uc010gqr.1
uc011agg.1	chr22	-	17385314	17385395	17385314	17385314	1	17385314,	17385395,		uc011agg.1
uc002zlw.3	chr22	-	17442826	17489112	17443622	17489004	10	17442826,17444614,17445655,17446067,17446989,17449187,17450832,17468849,17472762,17488830,	17443766,17444719,17445752,17446158,17447254,17449273,17451083,17469057,17473066,17489112,	Q2WGN9	uc002zlw.3
uc010gqs.1	chr22	-	17446991	17489112	17449218	17489004	5	17446991,17449187,17468849,17472762,17488830,	17448371,17449273,17469006,17473066,17489112,	H0YB31	uc010gqs.1
uc002zlx.1	chr22	+	17517459	17539682	17517459	17517459	4	17517459,17525762,17528213,17537962,	17518234,17525890,17528316,17539682,		uc002zlx.1
uc031rwe.1	chr22	+	17565848	17578399	17565981	17578026	2	17565848,17577951,	17566119,17578399,		uc031rwe.1
uc002zly.4	chr22	+	17565848	17596584	17565981	17590710	13	17565848,17577951,17578686,17579664,17581244,17582885,17583028,17584383,17585615,17586480,17586742,17588616,17589196,	17566119,17577976,17578833,17579777,17581371,17582933,17583192,17584467,17585700,17586492,17586844,17588658,17596584,	Q96F46	uc002zly.4
uc002zmb.2	chr22	-	17597188	17602213	17600280	17602017	1	17597188,	17602213,	Q9BXQ6	uc002zmb.2
uc002zma.2	chr22	-	17597188	17602257	17600280	17600952	2	17597188,17602141,	17601033,17602257,	A8MYY1	uc002zma.2
uc002zmc.3	chr22	+	17602484	17612994	17602484	17602484	4	17602484,17605544,17611251,17612504,	17602929,17605661,17611374,17612994,		uc002zmc.3
uc002zmf.3	chr22	-	17618409	17640169	17618910	17640141	8	17618409,17619439,17621948,17623987,17625913,17629337,17630431,17640015,	17619247,17619628,17622123,17624021,17626007,17629450,17630635,17640169,	Q9BXW7	uc002zmf.3
uc002zmh.3	chr22	-	17618409	17646177	17618910	17646134	8	17618409,17619439,17621948,17623987,17625913,17629337,17630431,17646098,	17619247,17619628,17622123,17624021,17626007,17629450,17630635,17646177,	Q9BXW7-2	uc002zmh.3
uc002zmi.4	chr22	+	17640278	17646335	17640278	17640278	2	17640278,17646158,	17640727,17646335,		uc002zmi.4
uc011agh.3	chr22	+	17640278	17646335	17640278	17640278	2	17640278,17646158,	17640441,17646335,		uc011agh.3
uc002zmj.1	chr22	-	17660191	17680545	17662372	17680468	7	17660191,17662709,17663493,17669228,17670831,17672572,17680438,	17662466,17662912,17663651,17669337,17670922,17672700,17680545,	Q9NZK5-2	uc002zmj.1
uc002zmk.1	chr22	-	17660191	17690779	17662372	17690567	9	17660191,17662709,17663493,17669228,17670831,17672572,17684452,17687960,17690245,	17662466,17662912,17663651,17669337,17670922,17672700,17684663,17688180,17690779,	Q9NZK5	uc002zmk.1
uc010gqu.1	chr22	-	17660191	17700463	17662372	17690567	10	17660191,17662709,17663493,17669228,17670831,17672572,17684452,17687960,17690245,17700245,	17662466,17662912,17663651,17669337,17670922,17672700,17684663,17688180,17690613,17700463,	Q9NZK5	uc010gqu.1
uc011agi.1	chr22	-	17660191	17702738	17662372	17690441	10	17660191,17662709,17663493,17669228,17670831,17672572,17684452,17687960,17690245,17702616,	17662466,17662912,17663651,17669337,17670922,17672700,17684663,17688180,17690488,17702738,	Q9NZK5	uc011agi.1
uc011agj.1	chr22	-	17670831	17700463	17672568	17690441	5	17670831,17684452,17687960,17690245,17700245,	17672700,17684663,17688180,17690488,17700463,	B4DHM2	uc011agj.1
uc021wkn.1	chr22	-	17737749	17747623	17737749	17737749	3	17737749,17741679,17747412,	17739196,17741935,17747623,		uc021wkn.1
uc010gqv.1	chr22	+	17840838	18033845	17978525	18032540	19	17840838,17956629,17976434,17978441,17979662,17982113,17983878,17990844,18003143,18016791,18018208,18018328,18018681,18020100,18021527,18021845,18027840,18031715,18032534,	17840913,17956724,17976618,17978581,17979767,17982163,17984048,17990928,18003297,18016921,18018246,18018420,18018808,18020489,18021656,18022692,18029254,18031827,18033845,	B7WPH3	uc010gqv.1
uc010gqw.1	chr22	+	17956629	18033845	17956629	18032540	18	17956629,17976434,17978441,17979662,17982113,17983878,17990844,18003143,18016793,18018208,18018328,18018681,18020100,18021527,18021845,18027837,18031715,18032534,	17956724,17976618,17978581,17979767,17982163,17984048,17990928,18003353,18016921,18018246,18018420,18018808,18020489,18021656,18022692,18029254,18031827,18033845,	Q9BXF3	uc010gqw.1
uc002zml.2	chr22	+	17956629	18033845	17978525	18032540	18	17956629,17976434,17978441,17979662,17982113,17983878,17990844,18003143,18016791,18018208,18018328,18018681,18020100,18021527,18021845,18027837,18031715,18032534,	17956724,17976618,17978581,17979767,17982163,17984048,17990928,18003297,18016921,18018246,18018420,18018808,18020489,18021656,18022692,18029254,18031827,18033845,	E2QRE6	uc002zml.2
uc002zmm.1	chr22	+	17978441	18003353	17978525	18003353	5	17978441,17979662,17982113,17983878,18003143,	17978581,17979767,17982163,17984048,18003353,		uc002zmm.1
